case_id,borrower_name,age,occupation,employer_business,employment_business_vintage_years,annual_income_lakh,existing_emi_inr,credit_score,loan_product,loan_purpose,loan_amount_inr,tenure_years,interest_rate_percent,primary_property_pdf,city,locality,property_type,property_address,building_society,flat_house_number,bedrooms,carpet_area_sqft,builtup_area_sqft,floor,total_floors,property_age_years,parking,occupancy,condition,sale_deed_status,property_card_status,share_certificate_status,building_plan_status,occupancy_certificate_status,property_tax_status,encumbrance_security_interest_status,owner_consistency,address_consistency,property_id_consistency,area_consistency,property_type_consistency,document_completeness,exceptions,comparable_count,average_comparable_rate_inr_sqft,adjusted_comparable_rate_inr_sqft,indicative_value_inr,indicative_value_low_inr,indicative_value_high_inr,valuation_confidence,ltv_percent,collateral_coverage_x,collateral_assessment,valuer_status,valuer_assessed_value_inr,valuer_override_reason,credit_review_status,data_classification,data_note
CLIQ-01364,Meera More,25,Salaried,Professional Practice,1,22.62,54700,743,Loan Against Property (LAP),Medical/Personal Need,27500000,15,10.14,Simulated - property information source,Mumbai,Dadar West,Apartment / Flat,"750, Dadar West, Mumbai, Maharashtra",Ocean View CHS,404,1,810,1000,15,30,28,1 Covered,Tenant-occupied,Good,Pending,Uploaded,Uploaded,Pending,Uploaded,Pending,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,6,58600,57500,46600000,45000000,48800000,High,59.0,1.69,MEDIUM - REVIEW REQUIRED,Completed,44800000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01365,Meera Agarwal,49,Self-Employed Professional,Trading Business,7,7.66,14800,731,Home Loan,Purchase of Residential Property,50000000,20,10.93,Simulated - property information source,Mumbai,Mahim,Independent House,"879, Mahim, Mumbai, Maharashtra",Ocean View CHS,House-29,1,2980,3800,18,30,1,2 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,8,52100,50700,151100000,143300000,159500000,High,33.1,3.02,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01366,Amit Joshi,29,Self-Employed Professional,Trading Business,5,60.1,67200,804,Home Loan,Balance Transfer,38800000,30,9.85,Simulated - property information source,Mumbai,Sion,Apartment / Flat,"270, Sion, Mumbai, Maharashtra",Green Heights,403,3,1470,1880,15,23,21,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Mostly Complete,Area inconsistency; Document completeness review,7,45200,44500,65400000,62200000,69600000,Low,59.3,1.69,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01367,Kavya Singh,41,Business Owner,Manufacturing Business,10,14.24,13200,774,Home Loan,Purchase of Residential Property,20400000,30,8.78,Simulated - property information source,Mumbai,Matunga,Independent House,"550, Matunga, Mumbai, Maharashtra",Demo Housing Society,House-43,2,760,900,11,33,11,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Incomplete,Document completeness review,6,52200,51100,38800000,37100000,41200000,High,52.6,1.9,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01368,Varun Chaudhari,39,Business Owner,Government Department,6,14.02,36500,720,Loan Against Property (LAP),Medical/Personal Need,11200000,20,10.97,Simulated - property information source,Mumbai,Andheri East,Apartment / Flat,"702, Andheri East, Mumbai, Maharashtra",Sai Enclave,802,4,690,810,2,34,9,None,Vacant,Average,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,35900,36600,25300000,24000000,26900000,High,44.3,2.26,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01369,Vikram Joshi,33,Business Owner,Government Department,10,32.9,58200,801,Loan Against Property (LAP),Debt Consolidation,19600000,15,9.83,Simulated - property information source,Thane,Thane West,Apartment / Flat,"984, Thane West, Thane, Maharashtra",Sunrise Apartments,509,2,1190,1520,2,30,2,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,32600,32200,38300000,36700000,40300000,High,51.2,1.95,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01370,Aditya Agarwal,49,Self-Employed Professional,Professional Practice,10,6.12,4700,735,Home Loan,Purchase of Residential Property,15900000,30,10.09,Simulated - property information source,Thane,Balkum,Apartment / Flat,"603, Balkum, Thane, Maharashtra",Demo Housing Society,204,1,1720,2080,7,8,9,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Exception,Pass,Pass,Pass,Complete,Address mismatch,7,25300,24700,42500000,40200000,44300000,High,37.4,2.67,MEDIUM - REVIEW REQUIRED,Completed,40500000,No material adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01371,Arjun Sharma,43,Salaried,Professional Practice,14,14.53,22000,809,Loan Against Property (LAP),Education,14600000,10,8.73,Simulated - property information source,Mumbai,Sion,Apartment / Flat,"238, Sion, Mumbai, Maharashtra",Green Heights,602,1,670,840,11,20,13,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,44300,43300,29000000,27300000,30000000,High,50.3,1.99,LOW - REVIEW COMPLETE,Completed,28500000,No material adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01372,Rohan Malhotra,45,Business Owner,Trading Business,1,8.37,21300,758,Loan Against Property (LAP),Business Expansion,35800000,15,9.31,Simulated - property information source,Mumbai,Dadar West,Apartment / Flat,"393, Dadar West, Mumbai, Maharashtra",Sai Enclave,709,1,1580,1930,14,34,30,1 Open,Vacant,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,58100,59700,94300000,90200000,98700000,High,38.0,2.63,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01373,Varun Nair,27,Business Owner,Government Department,10,20.06,16800,712,Home Loan,Balance Transfer,39000000,30,9.9,Simulated - property information source,Mumbai,Dadar East,Apartment / Flat,"752, Dadar East, Mumbai, Maharashtra",Shree Residency,403,2,1420,1650,17,32,26,1 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,7,58100,59100,83900000,79600000,87500000,Medium,46.5,2.15,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01374,Siddharth Verma,45,Business Owner,Professional Practice,10,30.18,77400,715,Home Loan,Construction,15300000,15,9.14,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"633, Wagle Estate, Thane, Maharashtra",Sai Enclave,903,2,870,1070,8,15,8,1 Open,Tenant-occupied,Average,Uploaded,Pending,Pending,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,6,25500,25400,22100000,21400000,22800000,High,69.2,1.44,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01375,Varun Patil,49,Business Owner,Professional Practice,18,15.64,34400,842,Home Loan,Purchase of Residential Property,37700000,20,11.28,Simulated - property information source,Mumbai,Worli,Apartment / Flat,"922, Worli, Mumbai, Maharashtra",Ocean View CHS,701,3,1140,1380,2,14,15,2 Covered,Self-occupied,Good,Pending,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,80800,79500,90600000,87600000,93400000,High,41.6,2.4,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01376,Karan Verma,35,Government Employee,Government Department,15,12.27,17500,722,Home Loan,Construction,41800000,25,10.8,Simulated - property information source,Mumbai,Worli,Apartment / Flat,"473, Worli, Mumbai, Maharashtra",Ocean View CHS,509,4,900,1140,6,21,8,2 Covered,Vacant,Excellent,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Exception,Pass,Pass,Complete,Property identification mismatch,8,72300,70600,63500000,60200000,67200000,High,65.8,1.52,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01377,Nikhil Patil,47,Salaried,Private Company,6,12.81,16100,799,Home Loan,Balance Transfer,27000000,25,9.9,Simulated - property information source,Mumbai,Mahim,Apartment / Flat,"364, Mahim, Mumbai, Maharashtra",Shree Residency,901,3,1450,1760,9,25,30,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Exception,Pass,Pass,Pass,Pass,Complete,Owner mismatch,8,52400,52500,76100000,72500000,79300000,High,35.5,2.82,MEDIUM - REVIEW REQUIRED,Completed,71700000,Comparable selection adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01378,Nikhil Kulkarni,44,Salaried,Government Department,8,16.4,40000,805,Home Loan,Balance Transfer,30800000,15,8.93,Simulated - property information source,Mumbai,Sion,Apartment / Flat,"363, Sion, Mumbai, Maharashtra",Sunrise Apartments,603,1,1470,1760,8,29,4,1 Covered,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,5,39200,39400,57900000,54500000,60500000,High,53.2,1.88,LOW - REVIEW COMPLETE,Completed,58700000,Condition/marketability adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01379,Arjun Bansal,39,Government Employee,Manufacturing Business,1,9.6,21100,730,Home Loan,Construction,10800000,30,10.05,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"538, Wagle Estate, Thane, Maharashtra",Green Heights,509,2,1110,1310,17,19,14,2 Covered,Vacant,Good,Uploaded,Pending,Pending,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,8,25200,25700,28500000,26900000,30000000,Medium,37.9,2.64,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01380,Rahul Nair,54,Self-Employed Professional,Trading Business,4,18.07,36500,771,Home Loan,Construction,25700000,10,10.84,Simulated - property information source,Mumbai,Matunga,Apartment / Flat,"409, Matunga, Mumbai, Maharashtra",Sunrise Apartments,207,3,1010,1190,13,25,12,2 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,8,63000,64100,64700000,62400000,67800000,Medium,39.7,2.52,MEDIUM - REVIEW REQUIRED,Completed,61200000,Comparable selection adjustment,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01381,Arjun Patil,48,Government Employee,Manufacturing Business,7,39.41,99800,790,Home Loan,Balance Transfer,29000000,30,9.58,Simulated - property information source,Mumbai,Wadala,Villa,"109, Wadala, Mumbai, Maharashtra",Ocean View CHS,House-38,2,1280,1470,10,27,7,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Exception,Pass,Pass,Pass,Mostly Complete,Address mismatch; Document completeness review; Security-interest verification pending,6,45100,45900,58800000,56300000,61500000,High,49.3,2.03,HIGH - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01382,Meera More,56,Self-Employed Professional,Professional Practice,12,46.2,107200,731,Home Loan,Balance Transfer,50000000,30,8.33,Simulated - property information source,Thane,Thane West,Villa,"86, Thane West, Thane, Maharashtra",Shree Residency,House-84,2,2800,3330,15,33,15,2 Covered,Tenant-occupied,Average,Uploaded,Pending,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,8,30800,31800,89000000,85400000,93600000,Medium,56.2,1.78,MEDIUM - REVIEW REQUIRED,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01383,Aarav Patil,37,Government Employee,Private Company,11,32.31,67500,775,Loan Against Property (LAP),Medical/Personal Need,23100000,10,11.65,Simulated - property information source,Thane,Wagle Estate,Apartment / Flat,"823, Wagle Estate, Thane, Maharashtra",Ocean View CHS,607,3,1630,2020,13,24,16,None,Tenant-occupied,Needs Review,Pending,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Exception,Pass,Complete,Area inconsistency,5,27500,27700,45200000,43700000,47700000,Low,51.1,1.96,MEDIUM - REVIEW REQUIRED,Completed,45900000,Condition/marketability adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01384,Rahul Bansal,50,Business Owner,Private Company,12,13.95,21400,718,Loan Against Property (LAP),Medical/Personal Need,16900000,20,8.82,Simulated - property information source,Thane,Manpada,Independent House,"380, Manpada, Thane, Maharashtra",Ocean View CHS,House-75,3,1240,1450,6,18,5,1 Open,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Exception,Pass,Mostly Complete,Area inconsistency; Document completeness review; Security-interest verification pending,6,25100,25000,31000000,29800000,32500000,Low,54.5,1.83,HIGH - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01385,Raj Gupta,35,Self-Employed Professional,Trading Business,14,10.69,13400,720,Loan Against Property (LAP),Education,3800000,20,8.35,Simulated - property information source,Thane,Kalwa,Apartment / Flat,"739, Kalwa, Thane, Maharashtra",Demo Housing Society,808,1,450,540,13,24,36,1 Open,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,5,22600,22100,9900000,9600000,10500000,High,38.4,2.61,MEDIUM - REVIEW REQUIRED,Completed,9300000,Comparable selection adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01386,Karan Kulkarni,46,Salaried,Private Company,11,14.36,30200,742,Loan Against Property (LAP),Debt Consolidation,33000000,7,11.49,Simulated - property information source,Mumbai,Dadar West,Apartment / Flat,"417, Dadar West, Mumbai, Maharashtra",Demo Housing Society,706,4,1540,1850,16,16,4,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,62400,62000,95500000,90800000,100700000,High,34.6,2.89,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01387,Kavya Bansal,23,Salaried,Trading Business,7,8.54,17400,754,Home Loan,Purchase of Residential Property,17900000,15,11.25,Simulated - property information source,Mumbai,Andheri East,Apartment / Flat,"292, Andheri East, Mumbai, Maharashtra",Green Heights,806,3,1420,1790,9,24,1,1 Open,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,39900,39800,56500000,54300000,58900000,High,31.7,3.16,LOW - REVIEW COMPLETE,Pending,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01388,Raj Joshi,39,Self-Employed Professional,Professional Practice,17,8.72,6000,790,Loan Against Property (LAP),Medical/Personal Need,38200000,7,8.39,Simulated - property information source,Mumbai,Mahim,Apartment / Flat,"682, Mahim, Mumbai, Maharashtra",Ocean View CHS,302,1,1450,1730,17,17,26,None,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Pending,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,7,55500,54100,78400000,73700000,81800000,High,48.7,2.05,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01389,Rohan Nair,26,Business Owner,Manufacturing Business,1,15.28,24800,846,Home Loan,Purchase of Residential Property,35100000,30,9.78,Simulated - property information source,Thane,Thane West,Apartment / Flat,"271, Thane West, Thane, Maharashtra",Sunrise Apartments,305,3,1700,2160,6,14,12,1 Covered,Self-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Exception,Pass,Pass,Pass,Mostly Complete,Address mismatch; Document completeness review,5,30400,31100,52900000,51300000,55800000,High,66.4,1.51,MEDIUM - REVIEW REQUIRED,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01390,Raj Joshi,37,Business Owner,Private Company,6,19.62,18300,759,Loan Against Property (LAP),Medical/Personal Need,17300000,15,11.12,Simulated - property information source,Thane,Thane West,Apartment / Flat,"539, Thane West, Thane, Maharashtra",Ocean View CHS,204,2,880,1050,11,33,18,1 Covered,Tenant-occupied,Good,Uploaded,Pending,Uploaded,Uploaded,Uploaded,Pending,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,6,30800,30800,27100000,25500000,28400000,High,63.8,1.57,MEDIUM - REVIEW REQUIRED,Completed,26600000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01391,Aditya Jain,33,Salaried,Manufacturing Business,4,7.86,17000,755,Loan Against Property (LAP),Education,16000000,15,10.28,Simulated - property information source,Mumbai,Andheri West,Apartment / Flat,"492, Andheri West, Mumbai, Maharashtra",Green Heights,307,3,920,1150,16,34,4,1 Open,Vacant,Excellent,Uploaded,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,5,44200,43100,39700000,37800000,42300000,High,40.3,2.48,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01392,Neha Sharma,29,Salaried,Manufacturing Business,11,11.33,8400,761,Home Loan,Construction,15300000,15,8.59,Simulated - property information source,Thane,Vartak Nagar,Apartment / Flat,"55, Vartak Nagar, Thane, Maharashtra",Ocean View CHS,402,3,970,1220,1,29,15,1 Covered,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review; Security-interest verification pending,8,27900,27200,26400000,24900000,28100000,Medium,58.0,1.73,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01393,Ananya Shah,40,Self-Employed Professional,Trading Business,3,16.95,16100,758,Home Loan,Balance Transfer,9500000,25,10.6,Simulated - property information source,Thane,Ghodbunder Road,Villa,"972, Ghodbunder Road, Thane, Maharashtra",Green Heights,House-29,4,720,900,16,30,1,None,Tenant-occupied,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Complete,Security-interest verification pending,5,27800,28000,20200000,19000000,21500000,High,47.0,2.13,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01394,Aditya Gupta,46,Self-Employed Professional,Professional Practice,9,11.39,29100,828,Home Loan,Purchase of Residential Property,50000000,20,9.14,Simulated - property information source,Mumbai,Worli,Apartment / Flat,"715, Worli, Mumbai, Maharashtra",Green Heights,908,3,1740,2220,11,13,18,1 Covered,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Exception,Pass,Pass,Pass,Mostly Complete,Address mismatch; Document completeness review,6,79700,80200,139500000,133800000,148100000,High,35.8,2.79,MEDIUM - REVIEW REQUIRED,Completed,136600000,No material adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01395,Kavya Deshmukh,34,Government Employee,Private Company,4,5.12,11500,758,Home Loan,Construction,13200000,15,8.7,Simulated - property information source,Thane,Naupada,Apartment / Flat,"398, Naupada, Thane, Maharashtra",Sai Enclave,201,4,730,840,4,30,14,None,Self-occupied,Excellent,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Exception,Pass,Pass,Complete,Property identification mismatch,6,33200,33600,24500000,23600000,26100000,High,53.9,1.86,MEDIUM - REVIEW REQUIRED,Completed,23800000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01396,Arjun Bansal,48,Government Employee,Manufacturing Business,15,20.21,16100,792,Home Loan,Purchase of Residential Property,17500000,25,10.54,Simulated - property information source,Thane,Ghodbunder Road,Row House,"744, Ghodbunder Road, Thane, Maharashtra",Sai Enclave,House-27,2,1500,1760,14,28,10,1 Covered,Vacant,Good,Uploaded,Uploaded,Pending,Uploaded,Uploaded,Pending,No charge indicated in submitted document,Pass,Pass,Exception,Exception,Pass,Mostly Complete,Property identification mismatch; Area inconsistency; Document completeness review,5,25900,25600,38400000,36500000,40600000,Low,45.6,2.19,HIGH - REVIEW REQUIRED,Inspection Scheduled,,,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01397,Ananya Malhotra,27,Salaried,Professional Practice,9,5.37,13300,740,Loan Against Property (LAP),Education,30200000,15,8.94,Simulated - property information source,Mumbai,Prabhadevi,Apartment / Flat,"867, Prabhadevi, Mumbai, Maharashtra",Green Heights,707,3,1010,1210,4,18,19,None,Vacant,Good,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Verification Pending,Pass,Pass,Pass,Pass,Pass,Incomplete,Document completeness review; Security-interest verification pending,6,82100,83900,84700000,80900000,89100000,Medium,35.7,2.8,MEDIUM - REVIEW REQUIRED,Pending,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01398,Vikram Mehta,34,Business Owner,Manufacturing Business,11,14.75,37700,753,Loan Against Property (LAP),Medical/Personal Need,6700000,20,9.3,Simulated - property information source,Mumbai,Andheri East,Apartment / Flat,"747, Andheri East, Mumbai, Maharashtra",Green Heights,301,2,450,540,17,35,13,2 Covered,Self-occupied,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,42100,42100,18900000,17800000,19600000,High,35.4,2.82,LOW - REVIEW COMPLETE,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01399,Ananya More,48,Government Employee,Trading Business,13,20.33,40700,758,Loan Against Property (LAP),Business Expansion,17700000,7,10.16,Simulated - property information source,Thane,Majiwada,Apartment / Flat,"602, Majiwada, Thane, Maharashtra",Ocean View CHS,502,1,1070,1360,14,35,1,2 Covered,Self-occupied,Good,Uploaded,Uploaded,Not Applicable,Uploaded,Uploaded,Pending,No charge indicated in submitted document,Pass,Exception,Pass,Pass,Pass,Incomplete,Address mismatch; Document completeness review,6,31200,31900,34100000,32300000,35200000,High,51.9,1.93,MEDIUM - REVIEW REQUIRED,Completed,33600000,No material adjustment,Collateral Assessment,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01400,Meera Chaudhari,33,Salaried,Trading Business,1,9.7,25000,766,Home Loan,Purchase of Residential Property,17000000,20,8.76,Simulated - property information source,Mumbai,Matunga,Apartment / Flat,"387, Matunga, Mumbai, Maharashtra",Shree Residency,404,3,790,1010,4,8,14,1 Open,Vacant,Good,Uploaded,Uploaded,Uploaded,Pending,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,7,52300,52200,41200000,39800000,43400000,High,41.3,2.42,MEDIUM - REVIEW REQUIRED,Inspection Scheduled,,,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01401,Vikram Kapoor,38,Self-Employed Professional,Government Department,12,29.41,66100,769,Loan Against Property (LAP),Education,7500000,15,10.02,Simulated - property information source,Thane,Balkum,Apartment / Flat,"827, Balkum, Thane, Maharashtra",Demo Housing Society,205,3,970,1240,16,22,5,1 Open,Self-occupied,Average,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Mostly Complete,Document completeness review,5,24800,24600,23900000,23000000,25400000,High,31.4,3.19,MEDIUM - REVIEW REQUIRED,Completed,24400000,No material adjustment,Ready for Credit Review,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
CLIQ-01402,Isha Sharma,23,Salaried,Professional Practice,11,14.37,18300,744,Loan Against Property (LAP),Medical/Personal Need,14000000,20,10.53,Simulated - property information source,Thane,Manpada,Apartment / Flat,"397, Manpada, Thane, Maharashtra",Green Heights,108,1,1110,1390,8,28,5,None,Self-occupied,Average,Uploaded,Pending,Uploaded,Uploaded,Pending,Uploaded,No charge indicated in submitted document,Pass,Pass,Pass,Pass,Pass,Complete,None,6,25500,25000,27800000,26600000,29400000,Medium,50.4,1.99,LOW - REVIEW COMPLETE,Pending,,,Clarification Required,Synthetic / Demo,Synthetic data calibrated to official-source framework; not actual transaction/valuation data.
